customer_id,age,gender,country,tenure_months,monthly_charges,total_charges,contract_type,payment_method,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,num_service_calls,days_since_last_interaction,churn
CUST_000042,47,Other,USA,15,53.65,593.66,Month-to-month,Mailed check,Yes,No,No,No internet service,No,Yes,Yes,No,No internet service,3,47,Yes
CUST_000043,43,Other,USA,7,47.09,458.19,One year,Electronic check,Yes,No phone service,No,No,No,No,Yes,Yes,Yes,1,19,Yes
CUST_000044,40,Other,UK,15,74.61,1251.62,Month-to-month,Electronic check,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,0,17,Yes
CUST_000045,22,Male,UK,2,64.53,187.26,Month-to-month,Bank transfer,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,3,103,Yes
CUST_000046,34,Female,USA,53,117.51,6094.19,One year,Electronic check,Yes,Yes,Fiber optic,No,No,No internet service,No,Yes,No,1,15,Yes
CUST_000047,38,Male,USA,44,58.37,2596.09,Two year,Bank transfer,Yes,No,Fiber optic,Yes,No internet service,Yes,Yes,Yes,No internet service,2,59,No
CUST_000048,60,Male,USA,4,18.25,159.6,One year,Credit card,Yes,No,No,No,Yes,No,Yes,No,Yes,0,41,Yes
CUST_000049,50,Other,France,8,18.25,184.84,One year,Credit card,No,Yes,Fiber optic,No,No,No,No internet service,No,No,0,3,Yes
CUST_000050,18,Female,France,19,35.1,661.9,One year,Mailed check,Yes,No phone service,DSL,No,No,No,No,No,No,0,5,No
CUST_000051,49,Other,UK,2,118.75,378.56,Two year,Electronic check,Yes,No,Fiber optic,No,No,Yes,No,No,No,0,1,Yes
CUST_000052,39,Male,France,8,64.08,441.74,Two year,Mailed check,Yes,Yes,Fiber optic,No,No,Yes,Yes,No internet service,Yes,1,1,No
CUST_000053,34,Male,France,5,92.71,446.68,Month-to-month,Mailed check,Yes,No,No,Yes,Yes,No,No,No,Yes,1,27,Yes
CUST_000054,54,Other,USA,49,90.18,4481.39,Month-to-month,Credit card,Yes,No,DSL,No,Yes,Yes,No,No,Yes,2,2,Yes
CUST_000055,60,Male,Australia,38,33.33,1298.22,Two year,Credit card,Yes,Yes,Fiber optic,Yes,No internet service,No,No,Yes,No,1,4,No
CUST_000056,58,Male,France,17,20.17,398.92,Two year,Mailed check,No,Yes,DSL,No,No,No internet service,No,No,No,2,8,Yes
CUST_000057,32,Other,USA,14,81.06,1188.16,Month-to-month,Electronic check,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,2,24,Yes
CUST_000058,40,Male,USA,53,18.25,1019.74,One year,Credit card,Yes,No,Fiber optic,No,No,No internet service,No,Yes,No,2,7,Yes
CUST_000059,49,Female,USA,53,89.44,4703.92,Two year,Credit card,Yes,No,DSL,No,Yes,No,No,No,No,2,15,Yes
CUST_000060,59,Other,USA,69,62.07,4213.33,Month-to-month,Mailed check,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3,13,Yes
CUST_000061,37,Female,France,2,80.4,174.52,Month-to-month,Mailed check,Yes,No,DSL,Yes,No,No internet service,No internet service,Yes,No,0,15,Yes
CUST_000062,42,Male,UK,3,72.59,368.88,One year,Mailed check,Yes,Yes,No,No,No,Yes,Yes,No,Yes,1,79,Yes
CUST_000063,28,Male,France,22,73.92,1623.77,Month-to-month,Credit card,Yes,No,No,Yes,No,No internet service,Yes,Yes,No internet service,1,104,Yes
CUST_000064,27,Other,France,15,67.61,1074.12,Month-to-month,Electronic check,Yes,No phone service,DSL,No,No,No,No,No,No internet service,1,2,Yes
CUST_000065,57,Male,Germany,1,72.04,83.28,Two year,Credit card,Yes,No,Fiber optic,No,No internet service,No internet service,No internet service,No internet service,Yes,0,3,Yes
CUST_000066,65,Other,Germany,1,66.15,269.52,One year,Electronic check,Yes,No phone service,DSL,Yes,No internet service,Yes,Yes,Yes,No,1,1,Yes
CUST_000067,43,Other,USA,43,30.59,1301.5,Two year,Credit card,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,3,14,Yes
CUST_000068,60,Other,USA,40,55.15,2266.43,Two year,Mailed check,Yes,Yes,DSL,No internet service,No,Yes,Yes,No internet service,No internet service,1,57,No
CUST_000069,50,Other,Germany,8,118.75,878.11,One year,Electronic check,Yes,No,DSL,No,No internet service,Yes,No,No,No,0,48,Yes
CUST_000070,35,Other,USA,44,72.85,3093.48,Two year,Electronic check,Yes,Yes,No,No,No internet service,No,Yes,Yes,No,3,13,Yes
CUST_000071,50,Female,USA,18,93.56,1683.41,Month-to-month,Bank transfer,No,No,DSL,No,Yes,Yes,No,No,No,1,41,Yes
CUST_000072,68,Other,Canada,32,40.42,1411.6,One year,Electronic check,No,No,Fiber optic,No,No internet service,No,Yes,No,Yes,0,115,Yes
CUST_000073,44,Female,Germany,11,39.99,503.21,One year,Bank transfer,Yes,No,DSL,No,Yes,No,No,No,No,2,6,Yes
CUST_000074,68,Male,USA,2,34.91,0.0,One year,Electronic check,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,0,99,Yes
CUST_000075,18,Other,Germany,11,31.71,422.05,Month-to-month,Electronic check,Yes,No,DSL,Yes,No,No,No,Yes,No,1,44,Yes
CUST_000076,57,Male,France,12,24.44,140.15,Month-to-month,Mailed check,Yes,No phone service,DSL,Yes,No internet service,Yes,No,No,No,0,3,No
CUST_000077,46,Other,USA,16,70.83,1217.29,Month-to-month,Bank transfer,Yes,Yes,DSL,Yes,No,Yes,No,No,No internet service,0,47,Yes
CUST_000078,40,Female,USA,2,56.1,166.65,One year,Mailed check,Yes,No,DSL,No,No,Yes,No,Yes,No,2,3,Yes
CUST_000079,46,Female,Canada,72,86.89,6240.91,Two year,Mailed check,Yes,Yes,No,Yes,No,Yes,No internet service,No internet service,No,0,0,No
CUST_000080,18,Female,USA,5,57.24,358.93,Two year,Bank transfer,Yes,Yes,No,No internet service,Yes,No,No,Yes,Yes,3,43,Yes
CUST_000081,41,Male,USA,4,18.25,46.59,Month-to-month,Mailed check,Yes,No phone service,No,No internet service,No,No internet service,No internet service,No,No,1,67,Yes
CUST_000082,50,Other,UK,14,76.09,1080.2,Month-to-month,Electronic check,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,Yes,0,15,Yes
CUST_000083,67,Male,France,15,18.25,129.93,Month-to-month,Electronic check,Yes,No,DSL,No,No,No,No,No,Yes,1,0,Yes
CUST_000084,37,Female,USA,11,70.36,748.34,Month-to-month,Electronic check,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,1,27,Yes
CUST_000085,32,Male,USA,29,45.72,1418.15,Two year,Bank transfer,No,Yes,No,No,Yes,No internet service,Yes,Yes,Yes,1,7,No
CUST_000086,37,Female,USA,14,70.81,858.26,Two year,Mailed check,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,0,23,Yes
CUST_000087,58,Female,Australia,18,28.91,602.23,Month-to-month,Mailed check,No,Yes,DSL,Yes,No internet service,No,No internet service,No,No,3,11,Yes
CUST_000088,49,Female,USA,25,84.46,1909.58,Month-to-month,Credit card,Yes,Yes,No,No,No,No,No,No,No,1,29,Yes
CUST_000089,37,Other,Germany,1,65.94,0.0,Month-to-month,Electronic check,Yes,No phone service,DSL,No,No,Yes,No,Yes,No,2,9,Yes
CUST_000090,52,Other,Canada,16,56.39,870.84,Month-to-month,Bank transfer,Yes,No phone service,No,No,No,No,No,No internet service,No,0,4,Yes
CUST_000091,46,Female,USA,43,22.63,988.5,Two year,Electronic check,Yes,No,No,Yes,No,Yes,No,No,No,0,41,Yes
CUST_000092,59,Male,Australia,1,110.26,52.99,One year,Bank transfer,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,23,Yes
CUST_000093,34,Male,Canada,10,42.33,363.3,Two year,Bank transfer,No,No,DSL,Yes,Yes,No internet service,No,No,No internet service,1,11,Yes
CUST_000094,40,Other,Canada,52,71.57,3832.54,One year,Credit card,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,2,29,Yes
CUST_000095,39,Female,USA,8,41.28,449.09,Month-to-month,Credit card,Yes,Yes,Fiber optic,No,No,No,No,No,No,0,10,Yes
CUST_000096,23,Male,Germany,12,118.75,1382.56,Month-to-month,Credit card,Yes,Yes,DSL,No internet service,No internet service,No,Yes,No,Yes,0,13,Yes
CUST_000097,49,Female,France,72,68.74,4909.55,Month-to-month,Credit card,Yes,No,Fiber optic,No internet service,Yes,No,Yes,No,No,2,14,No
CUST_000098,48,Male,Australia,4,49.63,169.83,Two year,Mailed check,No,Yes,Fiber optic,Yes,No,No,No,No,No,4,7,Yes
CUST_000099,45,Other,USA,1,80.14,301.92,Two year,Mailed check,Yes,Yes,DSL,No internet service,Yes,No internet service,No internet service,Yes,No,3,17,Yes
CUST_000100,41,Female,France,39,83.75,3268.01,Two year,Credit card,Yes,Yes,DSL,No internet service,Yes,No,Yes,No,No,2,50,No
CUST_000101,23,Female,USA,40,74.86,3151.7,Month-to-month,Credit card,Yes,No,DSL,No,Yes,Yes,No,No,No,0,106,Yes
CUST_000102,38,Male,USA,12,56.91,756.15,Two year,Bank transfer,Yes,No,No,No,No internet service,Yes,No,No,No internet service,1,7,Yes
CUST_000103,39,Male,UK,14,76.01,1053.69,Month-to-month,Mailed check,Yes,Yes,No,Yes,No,No,No,Yes,Yes,1,83,Yes
CUST_000104,32,Male,France,36,61.12,2135.45,Month-to-month,Credit card,Yes,No,Fiber optic,No internet service,No,No,No,No,No,0,9,Yes
CUST_000105,42,Female,UK,26,64.37,1751.48,Month-to-month,Electronic check,Yes,No,DSL,No,No,No,No internet service,No internet service,Yes,3,19,Yes
CUST_000106,51,Other,UK,6,45.36,193.58,Month-to-month,Electronic check,Yes,Yes,Fiber optic,No internet service,No,No,Yes,Yes,Yes,0,3,Yes
CUST_000107,73,Other,Australia,1,28.41,0.0,Two year,Bank transfer,Yes,No,DSL,No,Yes,No,No internet service,No,Yes,2,28,Yes
CUST_000108,47,Male,USA,13,79.08,1093.94,One year,Electronic check,Yes,Yes,Fiber optic,No,Yes,No internet service,No,Yes,No,1,21,Yes
CUST_000109,48,Other,Germany,39,80.16,3102.08,Month-to-month,Mailed check,Yes,No,Fiber optic,No,No,No,No internet service,No,No,2,34,Yes
CUST_000110,43,Male,USA,45,97.42,4344.22,Month-to-month,Credit card,Yes,Yes,No,No,Yes,Yes,No,No,Yes,2,27,Yes
CUST_000111,18,Other,USA,62,66.21,4074.4,Month-to-month,Electronic check,Yes,Yes,DSL,No internet service,No,No internet service,No internet service,No,No internet service,1,119,Yes
CUST_000112,44,Female,Germany,42,59.61,2434.81,Month-to-month,Credit card,Yes,No,DSL,No,Yes,Yes,No,No internet service,Yes,2,44,Yes
CUST_000113,45,Male,Canada,17,29.75,550.78,Month-to-month,Credit card,Yes,No,No,No,Yes,No internet service,No internet service,No internet service,No,1,100,Yes
CUST_000114,80,Other,UK,11,64.01,707.76,One year,Credit card,No,Yes,No,No,No internet service,No,No,Yes,Yes,1,22,Yes
CUST_000115,42,Female,France,29,74.0,2010.53,Month-to-month,Credit card,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,No,4,9,Yes
CUST_000116,49,Other,USA,26,19.51,458.42,Two year,Bank transfer,Yes,No phone service,DSL,No,No,No,No,No,No,2,22,Yes
CUST_000117,44,Female,USA,15,91.73,1339.18,Month-to-month,Bank transfer,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,1,18,Yes
CUST_000118,27,Female,UK,1,47.2,9.79,Month-to-month,Credit card,Yes,No,Fiber optic,No,No,No internet service,No,No,No,1,16,Yes
CUST_000119,62,Other,USA,52,60.1,3184.98,Month-to-month,Mailed check,Yes,Yes,No,Yes,No,No,No,No internet service,No,2,15,Yes
CUST_000120,56,Other,USA,12,79.94,889.11,One year,Mailed check,Yes,No,Fiber optic,No,No,Yes,No,No,No,1,50,Yes
CUST_000121,56,Female,UK,9,64.82,853.74,Month-to-month,Bank transfer,Yes,Yes,DSL,Yes,No,Yes,Yes,No internet service,No internet service,2,40,Yes
CUST_000122,31,Female,USA,19,100.08,2040.15,Month-to-month,Bank transfer,No,Yes,Fiber optic,No,No,No,No,Yes,Yes,2,30,Yes
CUST_000123,66,Female,USA,22,80.72,1913.92,Two year,Credit card,Yes,No,DSL,No,No,No,Yes,Yes,Yes,1,31,Yes
CUST_000124,23,Male,UK,4,61.29,141.8,Month-to-month,Bank transfer,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,0,14,Yes
CUST_000125,53,Female,Germany,36,18.25,453.94,Two year,Bank transfer,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,2,17,Yes
CUST_000126,77,Male,Canada,6,89.9,505.52,Month-to-month,Bank transfer,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,Yes,1,4,Yes
CUST_000127,30,Female,Germany,4,35.51,171.4,Two year,Mailed check,No,Yes,No,No,No,No,No,No,Yes,2,25,Yes
CUST_000128,36,Male,UK,10,86.3,846.77,Month-to-month,Electronic check,No,No,Fiber optic,No,Yes,Yes,No,No internet service,No,0,4,Yes
CUST_000129,46,Female,Canada,26,77.25,1955.64,Month-to-month,Credit card,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,0,74,No
CUST_000130,37,Female,France,67,60.03,3847.93,Month-to-month,Electronic check,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3,16,Yes
CUST_000131,21,Female,USA,33,88.83,2864.25,Month-to-month,Credit card,Yes,Yes,No,Yes,No,No,No,Yes,Yes,3,1,Yes
CUST_000132,46,Other,USA,56,78.03,4345.15,Two year,Credit card,Yes,Yes,No,No,Yes,No,No,Yes,No,0,0,Yes
CUST_000133,29,Other,Germany,3,73.21,170.09,Two year,Bank transfer,Yes,Yes,No,Yes,No internet service,No,No,No,Yes,1,33,Yes
CUST_000134,52,Female,Germany,1,22.09,0.0,Month-to-month,Credit card,Yes,Yes,Fiber optic,No internet service,Yes,No,No internet service,No internet service,Yes,3,28,Yes
CUST_000135,31,Male,France,16,66.0,976.11,Month-to-month,Bank transfer,Yes,Yes,DSL,Yes,No internet service,No,No,Yes,No,2,44,Yes
CUST_000136,68,Male,France,6,33.93,369.06,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,2,41,Yes
CUST_000137,33,Female,Germany,35,37.6,1386.9,One year,Bank transfer,Yes,Yes,Fiber optic,No,No,Yes,No,No internet service,Yes,1,0,No
CUST_000138,40,Other,Australia,22,55.97,1326.97,Month-to-month,Electronic check,Yes,No,DSL,Yes,No internet service,Yes,No,Yes,No,1,5,Yes
CUST_000139,57,Male,UK,70,101.59,7138.26,Month-to-month,Mailed check,Yes,No,DSL,Yes,No internet service,No,Yes,No,No internet service,2,11,Yes
CUST_000140,26,Other,USA,5,74.13,237.16,One year,Mailed check,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,Yes,Yes,1,1,Yes
CUST_000141,48,Male,France,13,75.78,1059.01,Month-to-month,Credit card,Yes,Yes,Fiber optic,No,No internet service,No,No,No internet service,Yes,2,5,Yes
CUST_000142,64,Female,USA,13,84.26,1230.21,Month-to-month,Mailed check,Yes,Yes,Fiber optic,Yes,No,No internet service,No,Yes,No,0,26,Yes
CUST_000143,20,Other,France,5,43.13,365.07,Month-to-month,Mailed check,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,2,18,Yes
CUST_000144,47,Male,Australia,17,25.59,497.39,One year,Electronic check,No,No,Fiber optic,No,No,Yes,No,Yes,No,1,59,Yes
CUST_000145,48,Female,Germany,11,21.15,232.75,Month-to-month,Bank transfer,Yes,No,DSL,No,No internet service,Yes,Yes,Yes,No,1,7,Yes
CUST_000146,56,Female,Germany,11,70.78,778.36,Two year,Electronic check,Yes,No,Fiber optic,No,No,Yes,No internet service,No internet service,Yes,1,22,Yes
CUST_000147,26,Female,UK,9,89.67,858.88,Month-to-month,Electronic check,Yes,Yes,No,Yes,No,No internet service,No,No,No,0,59,Yes
CUST_000148,25,Other,USA,1,87.82,0.0,Month-to-month,Credit card,Yes,No,DSL,No,No,No internet service,No,No,No internet service,0,1,Yes
CUST_000149,52,Other,USA,14,44.22,682.99,One year,Mailed check,Yes,Yes,Fiber optic,No internet service,No,Yes,No,No,No internet service,2,61,Yes
CUST_000150,49,Female,Germany,8,98.89,742.53,Month-to-month,Electronic check,Yes,No phone service,DSL,No,No internet service,No,No,Yes,No,1,12,Yes
CUST_000151,48,Other,France,1,116.08,337.02,Month-to-month,Mailed check,Yes,Yes,DSL,Yes,Yes,No,No,Yes,Yes,1,58,Yes
CUST_000152,50,Male,Germany,7,80.19,531.29,Month-to-month,Bank transfer,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,3,34,Yes
CUST_000153,34,Female,USA,6,102.18,632.55,Month-to-month,Credit card,Yes,No,Fiber optic,No,No internet service,No,No,No,No,3,33,Yes
CUST_000154,48,Female,UK,9,86.83,795.93,One year,Credit card,Yes,No,Fiber optic,Yes,No,No,No,No,No,1,1,Yes
CUST_000155,49,Other,France,2,59.26,49.3,Month-to-month,Bank transfer,No,No,DSL,No,No,No internet service,Yes,No,No internet service,2,85,Yes
CUST_000156,34,Female,UK,14,48.39,723.13,One year,Mailed check,No,Yes,Fiber optic,No,No internet service,No,No,No,No,2,16,Yes
CUST_000157,72,Male,UK,23,24.67,601.69,One year,Electronic check,No,No,DSL,Yes,No,Yes,No,Yes,No,0,3,No
CUST_000158,52,Other,France,19,53.88,1126.02,One year,Electronic check,No,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,No,2,43,Yes
CUST_000159,27,Other,Germany,32,59.08,1962.58,Two year,Bank transfer,Yes,No,DSL,No,Yes,No internet service,No internet service,No,Yes,0,60,No
CUST_000160,54,Female,UK,12,59.63,734.3,One year,Mailed check,Yes,Yes,No,No,No,Yes,No,No,Yes,3,79,Yes
CUST_000161,30,Female,Canada,14,62.19,788.72,Month-to-month,Bank transfer,Yes,No,DSL,No internet service,No,No,Yes,Yes,No,3,21,Yes
CUST_000162,56,Female,USA,33,18.25,523.28,Month-to-month,Electronic check,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,2,15,Yes
CUST_000163,62,Other,Australia,11,84.48,1094.93,Month-to-month,Electronic check,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,3,26,Yes
CUST_000164,32,Female,USA,24,87.38,2105.77,Two year,Electronic check,Yes,No phone service,Fiber optic,No,No,Yes,No,No,Yes,1,10,Yes
CUST_000165,59,Male,USA,11,74.28,1024.69,Two year,Credit card,Yes,Yes,No,No,No,Yes,Yes,Yes,No internet service,0,14,Yes
CUST_000166,51,Female,Canada,10,35.77,275.84,Month-to-month,Electronic check,Yes,No phone service,Fiber optic,Yes,No internet service,No internet service,Yes,Yes,No,2,23,Yes
CUST_000167,57,Female,USA,28,74.17,2296.27,Two year,Bank transfer,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,1,52,Yes
CUST_000168,73,Other,France,3,65.57,102.34,One year,Electronic check,No,Yes,DSL,Yes,Yes,No,No,No,No internet service,1,57,Yes
CUST_000169,41,Female,France,8,76.86,571.06,Month-to-month,Bank transfer,Yes,No,No,No,Yes,No internet service,No,Yes,No,2,4,Yes
CUST_000170,33,Other,Canada,5,103.78,563.1,Month-to-month,Electronic check,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,Yes,1,4,Yes
CUST_000171,31,Female,Australia,8,60.54,584.06,Month-to-month,Electronic check,Yes,Yes,DSL,No,No internet service,No,No,No,No,0,6,Yes
CUST_000172,32,Male,USA,5,69.54,415.5,One year,Electronic check,Yes,No phone service,Fiber optic,No,Yes,Yes,No,No,No,0,27,Yes
CUST_000173,43,Male,France,17,43.39,546.34,Month-to-month,Mailed check,No,No phone service,Fiber optic,Yes,No,Yes,No,No,No,1,6,No
CUST_000174,50,Other,USA,32,88.04,2760.1,Month-to-month,Mailed check,No,No,DSL,Yes,No,No,Yes,No internet service,Yes,3,28,Yes
CUST_000175,49,Other,UK,30,82.57,2362.5,Two year,Credit card,Yes,Yes,No,No internet service,Yes,No internet service,Yes,Yes,Yes,0,38,Yes
CUST_000176,57,Female,France,9,70.41,495.59,One year,Electronic check,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,2,58,Yes
CUST_000177,45,Female,USA,72,38.67,2782.74,Month-to-month,Electronic check,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,2,60,Yes
CUST_000178,66,Male,Germany,18,47.92,651.36,Month-to-month,Bank transfer,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,No,0,7,Yes
CUST_000179,41,Female,UK,10,19.22,292.18,Month-to-month,Bank transfer,No,Yes,DSL,No,No internet service,Yes,Yes,Yes,No,0,11,Yes
CUST_000180,80,Male,Germany,36,47.62,1788.89,Two year,Electronic check,Yes,No,No,No,No,No,Yes,No,No internet service,0,6,No
CUST_000181,54,Other,Australia,26,82.73,2313.03,Two year,Bank transfer,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,2,34,Yes
CUST_000182,32,Female,USA,27,74.89,1915.47,One year,Credit card,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,2,34,Yes
CUST_000183,28,Other,Germany,4,68.99,179.14,Month-to-month,Mailed check,Yes,No,Fiber optic,No,Yes,No,No,No,No,0,0,Yes
